id,delivered_time,brand,outlet,sku,order_quantity
198,2021-04-18T15:25:51Z,C,YK28,995,2
199,2021-04-18T15:25:51Z,C,YK28,000,1
200,2021-04-18T15:25:51Z,C,YK28,001,1
201,2021-04-18T15:25:51Z,C,YK28,403,4
202,2021-04-18T15:59:11Z,C,YK28,994,1
203,2021-04-18T15:59:11Z,C,YK28,995,3
204,2021-04-18T15:59:11Z,C,YK28,999,1
205,2021-04-18T16:32:10Z,C,YK28,995,2
206,2021-04-18T16:32:10Z,C,YK28,900,1
207,2021-04-18T17:04:25Z,C,YK28,998,2
208,2021-04-18T17:04:25Z,C,YK28,000,1
209,2021-04-18T17:04:25Z,C,YK28,899,1
210,2021-04-18T17:12:48Z,C,YK28,995,1
211,2021-04-18T17:12:48Z,C,YK28,997,2
212,2021-04-18T17:12:48Z,C,YK28,001,2
213,2021-04-18T17:12:48Z,C,YK28,899,1
214,2021-04-18T19:35:48Z,B,YK28,602,1
215,2021-04-18T19:35:48Z,B,YK28,598,1
216,2021-04-19T09:55:54Z,B,YK28,581,1
217,2021-04-19T09:55:54Z,B,YK28,598,1
218,2021-04-19T12:20:37Z,B,YK28,602,2
219,2021-04-19T12:20:37Z,B,YK28,588,1
220,2021-04-19T12:20:37Z,B,YK28,598,1
221,2021-04-19T13:12:04Z,C,YK28,994,4
222,2021-04-19T13:12:04Z,C,YK28,997,4
223,2021-04-19T13:12:04Z,C,YK28,000,4
224,2021-04-19T13:12:04Z,C,YK28,899,4
225,2021-04-19T13:12:04Z,C,YK28,900,4
226,2021-04-19T13:12:04Z,C,YK28,901,4
227,2021-04-19T14:26:01Z,C,YK28,998,3
228,2021-04-19T14:26:01Z,C,YK28,999,2
229,2021-04-19T14:26:01Z,C,YK28,000,1
230,2021-04-19T14:39:25Z,C,YK28,994,3
231,2021-04-19T14:39:25Z,C,YK28,998,3
232,2021-04-19T14:57:41Z,C,YK28,994,3
233,2021-04-19T14:57:41Z,C,YK28,995,3
234,2021-04-19T14:57:41Z,C,YK28,996,2
235,2021-04-19T14:57:41Z,C,YK28,998,1
236,2021-04-19T15:24:23Z,C,YK28,996,2
237,2021-04-19T15:24:23Z,C,YK28,998,1
238,2021-04-19T15:24:23Z,C,YK28,001,1
239,2021-04-19T15:24:23Z,C,YK28,403,2
240,2021-04-19T16:07:30Z,C,YK28,994,3
241,2021-04-19T16:07:30Z,C,YK28,995,3
242,2021-04-19T16:07:30Z,C,YK28,996,3
243,2021-04-19T16:07:30Z,C,YK28,998,3
